Variable,Mean,STD,Min,25%,50%,75%,Max,Skewness
SSS,28.9816,4.6031,16.5879,25.4256,30.3017,32.4958,35.9986,-0.6495
SST,28.4883,0.4207,27.3752,28.1990,28.4773,28.8092,29.6826,-0.0180
SSH,-457452137.9807,0.0380,-457452138.0553,-457452138.0074,-457452137.9814,-457452137.9570,-457452137.8426,0.4430
Evap,-0.1270,0.0136,-0.1555,-0.1375,-0.1283,-0.1174,-0.0958,0.2782
Ppt,0.2391,0.2053,0.0075,0.0418,0.1787,0.4063,0.9329,0.6633
Runoff,0.0147,0.0182,0.0000,0.0003,0.0052,0.0265,0.0858,1.2545
Uwind,-4.7439,0.7997,-6.3659,-5.3950,-4.8307,-4.1645,-2.3175,0.4955
Vwind,-2.1537,1.1580,-4.7577,-3.0516,-2.0887,-1.3012,0.3449,-0.0695
Ucurr,0.1558,0.2937,-0.5623,-0.0594,0.1265,0.3684,1.2009,0.3995
Vcurr,-0.0092,0.3000,-0.6708,-0.2309,-0.0217,0.1989,1.1187,0.4269
