Variable,Mean,STD,Min,25%,50%,75%,Max,Skewness
SSS,37.0032,0.0702,36.8034,36.9627,37.0000,37.0532,37.1777,-0.2558
SST,24.8472,1.2795,22.6175,23.6700,24.6731,25.9549,27.9682,0.2426
SSH,0.0698,0.0249,0.0134,0.0519,0.0701,0.0887,0.1309,-0.0203
Evap,-0.1667,0.0310,-0.2664,-0.1875,-0.1606,-0.1428,-0.1044,-0.6130
Ppt,0.0190,0.0065,0.0076,0.0139,0.0179,0.0233,0.0420,0.6978
Runoff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uwind,-6.8663,0.8902,-8.9896,-7.4834,-6.7433,-6.2690,-4.5947,-0.0355
Vwind,1.7940,0.7338,-0.1669,1.3608,1.7805,2.2602,4.2788,0.2768
Ucurr,-0.0599,0.0142,-0.1036,-0.0700,-0.0597,-0.0515,-0.0120,0.1035
Vcurr,-0.0250,0.0116,-0.0532,-0.0339,-0.0250,-0.0162,0.0034,-0.1212
