Variable,Mean,STD,Min,25%,50%,75%,Max,Skewness
SSS,33.8871,0.1662,33.4541,33.7680,33.8873,34.0059,34.3649,-0.0007
SST,2.0257,0.8810,0.3677,1.3338,1.9575,2.8330,4.1791,0.1815
SSH,0.0682,0.0294,-0.0180,0.0468,0.0710,0.0915,0.1240,-0.4536
Evap,-0.0298,0.0134,-0.0669,-0.0392,-0.0267,-0.0194,-0.0004,-0.5852
Ppt,0.0939,0.0205,0.0515,0.0780,0.0939,0.1050,0.1532,0.4698
Runoff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uwind,7.4162,1.4680,2.3155,6.5756,7.5944,8.4412,10.8048,-0.7147
Vwind,-1.4400,1.2641,-4.1677,-2.3609,-1.4858,-0.6782,2.4221,0.3643
Ucurr,0.1755,0.0153,0.1317,0.1661,0.1757,0.1849,0.2179,-0.0740
Vcurr,0.0079,0.0164,-0.0400,-0.0043,0.0103,0.0205,0.0422,-0.4016
