Target,Driver,Best_Lag,Peak_Correlation
E_minus_P,curr_mag,1,-0.19228535346572354
E_minus_P,runoff,0,-0.9371249258274502
E_minus_P,sla,0,-0.437207654975924
E_minus_P,sss,0,0.8661923131409136
E_minus_P,sst,1,0.38061617325451363
E_minus_P,wind_mag,-2,0.6546291002268475
curr_mag,E_minus_P,-1,-0.19228535346572354
curr_mag,runoff,-1,0.246869753732051
curr_mag,sla,-1,0.23552383529933027
curr_mag,sss,-1,-0.2716807650614416
curr_mag,sst,0,-0.32456191213472474
curr_mag,wind_mag,-2,-0.21409181001557648
runoff,E_minus_P,0,-0.9371249258274502
runoff,curr_mag,1,0.246869753732051
runoff,sla,0,0.5284040558098015
runoff,sss,0,-0.8592211522220228
runoff,sst,1,-0.446698665092546
runoff,wind_mag,-2,-0.67041412559042
sla,E_minus_P,0,-0.437207654975924
sla,curr_mag,1,0.23552383529933024
sla,runoff,0,0.5284040558098017
sla,sss,0,-0.5585110713905398
sla,sst,-3,0.3874511908449072
sla,wind_mag,-2,-0.46546249098883324
sss,E_minus_P,0,0.8661923131409136
sss,curr_mag,1,-0.2716807650614416
sss,runoff,0,-0.8592211522220228
sss,sla,0,-0.5585110713905399
sss,sst,2,0.5031760266494633
sss,wind_mag,-1,0.6634395282897709
sst,E_minus_P,-1,0.3806161732545137
sst,curr_mag,0,-0.3245619121347248
sst,runoff,-1,-0.4466986650925461
sst,sla,3,0.38745119084490715
sst,sss,-2,0.5031760266494633
sst,wind_mag,1,-0.44438079501906874
wind_mag,E_minus_P,2,0.6546291002268476
wind_mag,curr_mag,2,-0.21409181001557648
wind_mag,runoff,2,-0.67041412559042
wind_mag,sla,2,-0.4654624909888333
wind_mag,sss,1,0.6634395282897709
wind_mag,sst,-1,-0.44438079501906874
