,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
sss,168.0,37.00322978553533,0.07016752787345755,36.80336367295117,36.96267643488504,36.999967669241144,37.05319038878986,37.17774771348316,-0.25352815939805545,0.08890928879942805
sst,168.0,24.847187286154877,1.2794697022883763,22.617460364855468,23.66998041911183,24.673104048627664,25.95488695192648,27.96823606125173,0.2404156850321409,-1.0399292577116475
sla,168.0,0.06980401785714282,0.02490539996111678,0.0133940828402366,0.051892085798816524,0.07008424556213015,0.08874005177514788,0.1308813609467455,-0.020142909854288807,-0.691732628932856
uwind,168.0,-6.866250939152885,0.8901846113620648,-8.989609148375381,-7.4833707024712535,-6.743251142769876,-6.2690052351302645,-4.594704011135553,-0.03520255825751609,-0.4632897319313001
vwind,168.0,1.7940122388397182,0.7337762759451856,-0.1668902476822417,1.3607782293662165,1.780488818927982,2.2601806770062307,4.278784502187424,0.27428709047006233,0.6528690360345579
ucurr,168.0,-0.059899416898926236,0.014246671525035514,-0.1036004977550126,-0.07002299919314767,-0.05974260119701655,-0.051467096648631354,-0.0120082475567379,0.10253974772634543,0.8040973943032657
vcurr,168.0,-0.025029597830491968,0.011570960735986166,-0.053180995226952,-0.0338518888501737,-0.0249936084179224,-0.016211939741147225,0.0034445889881218,-0.12006668251822682,-0.6036918285480017
evap,168.0,-0.16667856680107018,0.03104016407070899,-0.2663834833887202,-0.1874877958167234,-0.1606227699446784,-0.14279547204764986,-0.1043846550777819,-0.6075194648585178,-0.1815382919639661
ppt,168.0,0.018951554203006527,0.006541694373110005,0.0076208396776188,0.01385184293667945,0.01789081167187205,0.023313147076488176,0.0419706987911427,0.69157001497997,0.41725501171404566
runoff,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
