Target,Driver,Best_Lag,Peak_Correlation
E_minus_P,curr_mag,-1.0,0.06998483873895339
E_minus_P,runoff,,
E_minus_P,sla,0.0,0.32764653698903523
E_minus_P,sss,-3.0,0.3511012976621732
E_minus_P,sst,-2.0,0.6199444342753995
E_minus_P,wind_mag,1.0,0.16578294827347498
curr_mag,E_minus_P,1.0,0.06998483873895339
curr_mag,runoff,,
curr_mag,sla,0.0,0.1303285548489459
curr_mag,sss,-2.0,0.11118502180181934
curr_mag,sst,-2.0,0.20363841407192418
curr_mag,wind_mag,0.0,0.4093075065406265
runoff,E_minus_P,,
runoff,curr_mag,,
runoff,sla,,
runoff,sss,,
runoff,sst,,
runoff,wind_mag,,
sla,E_minus_P,0.0,0.32764653698903523
sla,curr_mag,0.0,0.1303285548489459
sla,runoff,,
sla,sss,-3.0,0.18497139436494503
sla,sst,-3.0,0.352161143508746
sla,wind_mag,-3.0,-0.11513344115539995
sss,E_minus_P,3.0,0.3511012976621732
sss,curr_mag,2.0,0.11118502180181934
sss,runoff,,
sss,sla,3.0,0.18497139436494503
sss,sst,0.0,0.34364750223968143
sss,wind_mag,2.0,0.18296377171332517
sst,E_minus_P,2.0,0.6199444342753995
sst,curr_mag,2.0,0.20363841407192418
sst,runoff,,
sst,sla,3.0,0.352161143508746
sst,sss,0.0,0.34364750223968143
sst,wind_mag,-2.0,-0.15670349366451716
wind_mag,E_minus_P,-1.0,0.16578294827347498
wind_mag,curr_mag,0.0,0.4093075065406265
wind_mag,runoff,,
wind_mag,sla,3.0,-0.11513344115539995
wind_mag,sss,-2.0,0.18296377171332515
wind_mag,sst,2.0,-0.15670349366451716
