,PC1,PC2,PC3,PC4,PC5
med_sss,0.21972873520441086,0.029708455768427042,0.037593982424159025,-0.018082481126782082,-0.16907525320629502
med_sst,0.40222339615272873,0.0891122633242172,0.1453870559427761,-0.053137480934621686,-0.04136871145611178
med_sla,0.0653551718322676,-0.10091898971244917,0.20128894847542836,0.15461667602849055,0.11613272786008448
med_uwind,0.07948173914139879,-0.268982189064194,-0.34362686101931905,-0.1726297028382102,0.04720207842534001
med_vwind,-0.20578183528270477,0.21549197964947875,-0.008834848927970576,-0.21390405363248932,0.18362503933914862
med_ucurr,0.1880102523607324,-0.19681744646407906,-0.21268012944164696,0.33635436483768233,-0.10031562231600966
med_vcurr,-0.048283262327794556,-0.15126224874357386,-0.282505411802683,-0.19642499767974386,0.0022884819217117874
med_evap,0.22425996986177785,-0.22329672610562232,0.2896606040748332,0.10506491575142686,-0.08961976841526763
med_ppt,0.04015927900570209,0.24890266401328934,-0.2725801824548775,0.20146056133432233,-0.12492747899264077
med_runoff,-2.710505431213761e-20,-0.0,-1.734723475976807e-18,-2.220446049250313e-16,-1.3877787807814457e-17
med_wind_mag,0.10470400834175056,-0.28527932899149905,-0.3308781388863885,-0.1417732583853289,0.028911355216072274
med_curr_mag,0.1840103570052762,-0.1976809740339876,-0.21910494881768652,0.3293633405828616,-0.0978126511147351
med_E_minus_P,0.07950487678205659,-0.29452307889274426,0.3445607380930924,-0.09891026822416037,0.04939430244826757
month_sin,0.3913765983431414,0.0984448000706061,0.10544675702388143,-0.10109520741357206,-0.0308606976579134
month_cos,0.019450237339370433,-0.32988726329811147,0.25762897558868836,0.1079579617822015,-0.05943831758845691
med_sss_lag1,0.19018593777814224,0.1303924093901,-0.03030724653309476,-0.07637849959468587,-0.05160874186697724
med_sss_lag2,0.1174899715163985,0.15561176572346666,-0.1282091979526699,-0.16385331672506642,-0.006780987284339228
med_sst_lag1,0.35584716749174294,0.24003598955242142,0.004756698432235566,-0.1084447420498293,0.00956193811492923
med_sst_lag2,0.22314282996164084,0.330930745656801,-0.11616848183996761,-0.11779562669187126,0.05101222739447309
med_sst_x_windmag,0.4219794425741354,-0.03307952072727126,0.0011575940254531679,-0.09586288514978092,-0.01592063698811321
med_sss_is_outlier,0.0467660852482014,-0.010418253462554001,0.015249757085078402,-0.015825014213127965,-0.08469841153141698
med_sst_is_outlier,9.18710433160031e-25,-2.1657059051845376e-23,6.513858060346712e-22,1.2900340738004434e-18,-5.338387926942663e-19
med_sla_is_outlier,-6.275825472268965e-26,1.4794206950770543e-24,-4.449697642618911e-23,-8.812379641826191e-20,3.646720080728642e-20
med_uwind_is_outlier,-0.0849619785187699,0.20826608740443361,0.223061200583591,0.14976140802827628,-0.10622501130065244
med_vwind_is_outlier,0.0032218785860419524,0.09609511500801163,-0.029476631651375637,-0.1792676226897592,0.08918420965752286
med_ucurr_is_outlier,0.09983385300813974,0.07433226044417887,-0.05101521739677566,0.3360094302145381,0.5535383369385072
med_vcurr_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_evap_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_ppt_is_outlier,-0.037366183273039436,0.13799069589329102,-0.12971808443646599,0.28565330791690036,-0.3329354038429106
med_runoff_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_wind_mag_is_outlier,-0.08048370154012432,0.2564915904921663,0.22302931701544723,0.18060025075409894,-0.16665335400033832
med_curr_mag_is_outlier,0.09983385300813975,0.07433226044417873,-0.05101521739677574,0.3360094302145381,0.5535383369385073
med_E_minus_P_is_outlier,-0.03215681481313686,0.07076668162125392,-0.16828899268977424,0.2673289666165284,-0.29280912326565606
med_sss_lag1_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_sss_lag2_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_sst_lag1_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_sst_lag2_is_outlier,0.0,-0.0,0.0,0.0,-0.0
med_sst_x_windmag_is_outlier,0.0,-0.0,0.0,0.0,-0.0
