model,Mean_R2,Mean_RMSE,Mean_MAE,Region
RandomForest,0.0138166666666666,0.0617833333333333,0.0484166666666666,low
SVR,0.0055333333333333,0.0620333333333333,0.0488,low
XGBoost,-0.0532666666666666,0.06265,0.0505833333333333,low
ElasticNet,-0.1146166666666666,0.0648833333333333,0.0507166666666666,low
Baseline_Linear,-1.7686,0.0994999999999999,0.0829166666666666,low
RandomForest,-0.0606333333333333,0.1455166666666666,0.1154333333333333,med
ElasticNet,-0.20045,0.1581833333333333,0.1285333333333333,med
SVR,-0.2272499999999999,0.1588166666666667,0.1272833333333333,med
XGBoost,-0.3179833333333333,0.1609666666666666,0.1314833333333333,med
Baseline_Linear,-2.3115666666666668,0.2534166666666667,0.1982333333333333,med
SVR,0.8905166666666666,1.49425,1.1664,high
ElasticNet,0.8837166666666666,1.543383333333333,1.2422666666666666,high
XGBoost,0.8806833333333333,1.5387166666666667,1.27105,high
RandomForest,0.8720166666666667,1.5811666666666666,1.2839666666666667,high
Baseline_Linear,0.8294,1.7806,1.4106666666666667,high
