fold,model,best_inner_R2,R2,RMSE,MAE,best_estimator
1,Baseline_Linear,-8.1546,-7.9982,0.2245,0.2023,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', LinearRegression())])"
1,ElasticNet,-0.6591,0.2389,0.0653,0.0533,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.05336699231206307, l1_ratio=0.35,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
1,SVR,-0.5651,0.3698,0.0594,0.0508,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', SVR(C=0.1, degree=2, epsilon=0.05, gamma=0.01))])"
1,RandomForest,-0.7464,0.3195,0.0617,0.0503,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(max_depth=6, max_features='log2',
                                       min_samples_leaf=2, n_estimators=800,
                                       n_jobs=-1, random_state=42))])"
1,XGBoost,-0.5194,0.2763,0.0637,0.0516,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3...
                              feature_types=None, gamma=0, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.01,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
2,Baseline_Linear,-1.5838,-0.5245,0.055,0.0392,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', LinearRegression())])"
2,ElasticNet,-0.3188,-0.7923,0.0596,0.0474,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.01519911082952933,
                            l1_ratio=0.44999999999999996, max_iter=200000,
                            random_state=42, selection='random'))])"
2,SVR,-0.433,-0.275,0.0503,0.0391,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', SVR(C=1, degree=2, epsilon=0.05, gamma=0.01))])"
2,RandomForest,-0.1371,-0.3046,0.0509,0.042,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(bootstrap=False, max_depth=6,
                                       max_features='log2', min_samples_leaf=2,
                                       n_estimators=500, n_jobs=-1,
                                       random_state=42))])"
2,XGBoost,-0.1464,-0.6992,0.0581,0.0491,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3...
                              feature_types=None, gamma=0, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.03,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=10, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
3,Baseline_Linear,-2.9711,-1.0143,0.0815,0.0657,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', LinearRegression())])"
3,ElasticNet,-0.2897,0.1413,0.0532,0.0385,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.1873817422860383, l1_ratio=0.05,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
3,SVR,0.0216,0.1024,0.0544,0.0431,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['low_sst', 'low_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'low_sst_lag1',
                                                   'low_sst_lag2',
                                                   'low_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'low_sla_lag1',
                                                   'low_sla_lag2',
                                                   'low_sla_lag3'])])),
                ('model', SVR(C=10, degree=2, gamma=0.001))])"
