region,feature,feature_value,partial_dependence
low,low_sst,23.085630219823393,36.99232744339737
low,low_sst,23.12324453109274,36.99253757269937
low,low_sst,23.16085884236209,36.992567639089145
low,low_sst,23.19847315363144,36.99226273908006
low,low_sst,23.236087464900788,36.99227618140878
low,low_sst,23.273701776170135,36.99226893209446
low,low_sst,23.311316087439483,36.99233782694381
low,low_sst,23.34893039870883,36.99227036484516
low,low_sst,23.386544709978182,36.99215043349361
low,low_sst,23.42415902124753,36.99196583053516
low,low_sst,23.461773332516877,36.99187258198517
low,low_sst,23.499387643786225,36.99178980280813
low,low_sst,23.537001955055572,36.99162209063772
low,low_sst,23.57461626632492,36.99158968615217
low,low_sst,23.61223057759427,36.991521384016814
low,low_sst,23.64984488886362,36.99147233274555
low,low_sst,23.687459200132967,36.991295994361565
low,low_sst,23.725073511402314,36.99128825098121
low,low_sst,23.762687822671662,36.991270815096385
low,low_sst,23.800302133941013,36.99147775053141
low,low_sst,23.83791644521036,36.991578957612845
low,low_sst,23.87553075647971,36.991992665722016
low,low_sst,23.913145067749056,36.992207142599284
low,low_sst,23.950759379018404,36.99248332605207
low,low_sst,23.988373690287755,36.992585294707304
low,low_sst,24.025988001557103,36.992583928986754
low,low_sst,24.06360231282645,36.99272017144228
low,low_sst,24.101216624095798,36.99266463238708
low,low_sst,24.138830935365146,36.992311733577765
low,low_sst,24.176445246634497,36.992247025307265
low,low_sst,24.214059557903845,36.992169039063555
low,low_sst,24.251673869173192,36.99211082211822
low,low_sst,24.28928818044254,36.99218989359488
low,low_sst,24.326902491711888,36.99219020996987
low,low_sst,24.364516802981235,36.99213368835559
low,low_sst,24.402131114250587,36.99235082326297
low,low_sst,24.439745425519934,36.99239687203372
low,low_sst,24.477359736789282,36.99260100788279
low,low_sst,24.51497404805863,36.99266432479341
low,low_sst,24.552588359327977,36.99269694877857
low,low_sst,24.59020267059733,36.99290556159444
low,low_sst,24.627816981866676,36.99360653496562
low,low_sst,24.665431293136024,36.99381931878194
low,low_sst,24.70304560440537,36.994082105336645
low,low_sst,24.74065991567472,36.99415394716098
low,low_sst,24.77827422694407,36.9940291102131
low,low_sst,24.815888538213418,36.99362038375386
low,low_sst,24.853502849482766,36.993726726088
low,low_sst,24.891117160752113,36.993763694513234
low,low_sst,24.92873147202146,36.99519888433257
low,low_sst,24.966345783290812,36.995558111990384
low,low_sst,25.00396009456016,36.99553991429109
low,low_sst,25.041574405829508,36.9955938661002
low,low_sst,25.079188717098855,36.99559847325539
low,low_sst,25.116803028368203,36.99581834823314
low,low_sst,25.154417339637554,36.99606238270757
low,low_sst,25.1920316509069,36.996250594862445
low,low_sst,25.22964596217625,36.996303266342686
low,low_sst,25.267260273445597,36.99623035374163
low,low_sst,25.304874584714945,36.99739044762836
low,low_sst,25.342488895984296,37.004576512545434
low,low_sst,25.380103207253644,37.005972854218555
low,low_sst,25.41771751852299,37.01114096242827
low,low_sst,25.45533182979234,37.01146442651009
low,low_sst,25.492946141061687,37.011628740506275
low,low_sst,25.530560452331038,37.011590773995856
low,low_sst,25.568174763600386,37.011859949963096
low,low_sst,25.605789074869733,37.01206824109612
low,low_sst,25.64340338613908,37.01212488529386
low,low_sst,25.68101769740843,37.012091489054114
low,low_sst,25.718632008677776,37.012077061686185
low,low_sst,25.756246319947127,37.01192837594956
low,low_sst,25.793860631216475,37.01186766198283
low,low_sst,25.831474942485823,37.01208765618227
low,low_sst,25.86908925375517,37.01214785813835
low,low_sst,25.906703565024518,37.0122470272969
low,low_sst,25.944317876293866,37.01231289920624
low,low_sst,25.981932187563217,37.012374408566714
low,low_sst,26.019546498832565,37.01262077863859
low,low_sst,26.057160810101912,37.012754885287535
low,low_sst,26.09477512137126,37.01284777545585
low,low_sst,26.132389432640608,37.01291730328662
low,low_sst,26.17000374390996,37.013225908066026
low,low_sst,26.207618055179307,37.01326398092156
low,low_sst,26.245232366448654,37.01335519969076
low,low_sst,26.282846677718002,37.013853278431064
low,low_sst,26.32046098898735,37.014087813904894
low,low_sst,26.3580753002567,37.01422519626867
low,low_sst,26.39568961152605,37.01442662266128
low,low_sst,26.433303922795396,37.01475408491517
low,low_sst,26.470918234064744,37.01502846598193
low,low_sst,26.50853254533409,37.015010716610284
low,low_sst,26.546146856603443,37.01502409194604
low,low_sst,26.58376116787279,37.01499437271126
low,low_sst,26.621375479142138,37.01499895956534
low,low_sst,26.658989790411486,37.01495029870058
low,low_sst,26.696604101680833,37.01487132931103
low,low_sst,26.734218412950185,37.014806854648285
low,low_sst,26.771832724219532,37.01472253511313
low,low_sst,26.80944703548888,37.014576653104065
