feature,importance,importance_std
med_sst,0.13298719,0.011713397
med_sst_lag1,0.099402425,0.006070564
med_sst_lag3,0.076004025,0.007014865
month_sin,0.070483321,0.005299219
EPR_lag2,0.06502064,0.007664353
EPR_lag3,0.058568243,0.004780357
curr_mag_lag2,0.052657151,0.005482454
med_sla_lag3,0.051788148,0.004682124
EPR_lag1,0.047869608,0.005548951
wind_mag_lag2,0.043330466,0.004429189
curr_mag,0.038991784,0.003946804
med_sla_lag2,0.038665378,0.002980634
med_sst_lag2,0.036063164,0.003066757
wind_mag_lag1,0.034833268,0.003921787
EPR,0.031337972,0.002473287
curr_mag_lag1,0.030941137,0.002403446
wind_mag_lag3,0.027617521,0.00201709
med_sla,0.027319801,0.001797954
med_sla_lag1,0.027125598,0.001794129
month_cos,0.026034931,0.001750122
curr_mag_lag3,0.021179638,0.001831263
wind_mag,0.016878646,0.001909974
