model,Mean_R2,Mean_RMSE,Mean_MAE,Region
RandomForest,0.15475,0.061425,0.047125,low
XGBoost,0.090625,0.063625,0.049125,low
SVR,0.0516,0.06495,0.05095,low
ElasticNet,0.046,0.0653,0.0512,low
Baseline_Linear,-0.5502,0.08245,0.0641,low
RandomForest,0.143425,0.133975,0.1065,med
XGBoost,0.04315,0.1417,0.11685,med
ElasticNet,-0.07995,0.151625,0.123975,med
SVR,-0.13495,0.1537,0.1217999999999999,med
Baseline_Linear,-4.036475,0.306775,0.2501,med
XGBoost,0.89305,1.452875,1.211025,high
RandomForest,0.889675,1.48225,1.179425,high
ElasticNet,0.877975,1.558675,1.2684,high
SVR,0.8686,1.56535,1.24065,high
Baseline_Linear,0.8273,1.7523,1.413675,high
