region,feature,feature_value,partial_dependence
high,EPR,-0.6730230573533906,26.886488
high,EPR,-0.6677456113056178,26.886488
high,EPR,-0.662468165257845,26.903847
high,EPR,-0.6571907192100722,26.934813
high,EPR,-0.6519132731622994,26.934813
high,EPR,-0.6466358271145266,26.934813
high,EPR,-0.6413583810667538,26.934813
high,EPR,-0.636080935018981,26.934813
high,EPR,-0.6308034889712082,26.934813
high,EPR,-0.6255260429234354,26.944067
high,EPR,-0.6202485968756626,26.944067
high,EPR,-0.6149711508278898,26.944067
high,EPR,-0.609693704780117,26.944067
high,EPR,-0.6044162587323442,26.944067
high,EPR,-0.5991388126845714,26.974117
high,EPR,-0.5938613666367984,27.017365
high,EPR,-0.5885839205890258,27.023243
high,EPR,-0.5833064745412528,27.052687
high,EPR,-0.5780290284934801,27.07777
high,EPR,-0.5727515824457072,27.07777
high,EPR,-0.5674741363979344,27.07777
high,EPR,-0.5621966903501616,27.07777
high,EPR,-0.5569192443023888,27.07777
high,EPR,-0.551641798254616,27.104101
high,EPR,-0.5463643522068432,27.203522
high,EPR,-0.5410869061590704,27.203522
high,EPR,-0.5358094601112976,27.203522
high,EPR,-0.5305320140635248,27.203522
high,EPR,-0.525254568015752,27.203522
high,EPR,-0.5199771219679792,27.203522
high,EPR,-0.5146996759202064,27.203522
high,EPR,-0.5094222298724336,27.203522
high,EPR,-0.5041447838246608,27.26611
high,EPR,-0.49886733777688796,27.26611
high,EPR,-0.49358989172911516,27.362095
high,EPR,-0.48831244568134236,27.362095
high,EPR,-0.48303499963356955,27.390738
high,EPR,-0.47775755358579675,27.390738
high,EPR,-0.47248010753802394,27.424208
high,EPR,-0.46720266149025114,27.424208
high,EPR,-0.46192521544247833,27.424208
high,EPR,-0.4566477693947055,27.428003
high,EPR,-0.4513703233469327,27.455742
high,EPR,-0.4460928772991599,27.454203
high,EPR,-0.44081543125138706,27.454203
high,EPR,-0.43553798520361425,27.478
high,EPR,-0.43026053915584145,27.478
high,EPR,-0.42498309310806864,27.478
high,EPR,-0.41970564706029584,27.52492
high,EPR,-0.41442820101252303,27.52492
high,EPR,-0.40915075496475023,27.667774
high,EPR,-0.4038733089169774,27.700142
high,EPR,-0.3985958628692046,28.24442
high,EPR,-0.3933184168214318,28.24442
high,EPR,-0.388040970773659,28.897894
high,EPR,-0.3827635247258862,28.908262
high,EPR,-0.37748607867811335,28.908262
high,EPR,-0.37220863263034054,28.908262
high,EPR,-0.36693118658256774,29.233162
high,EPR,-0.36165374053479493,29.233162
high,EPR,-0.3563762944870221,29.363583
high,EPR,-0.3510988484392493,29.363583
high,EPR,-0.3458214023914765,29.399933
high,EPR,-0.3405439563437037,29.55296
high,EPR,-0.3352665102959309,29.672531
high,EPR,-0.3299890642481581,29.795288
high,EPR,-0.3247116182003853,29.795288
high,EPR,-0.3194341721526125,29.795288
high,EPR,-0.3141567261048397,29.795288
high,EPR,-0.3088792800570669,29.795288
high,EPR,-0.3036018340092941,29.795288
high,EPR,-0.2983243879615213,29.812992
high,EPR,-0.29304694191374847,29.836727
high,EPR,-0.2877694958659756,29.840113
high,EPR,-0.2824920498182028,29.85625
high,EPR,-0.27721460377043,29.874249
high,EPR,-0.2719371577226572,29.874249
high,EPR,-0.2666597116748844,29.895391
high,EPR,-0.2613822656271116,29.89916
high,EPR,-0.2561048195793388,29.932978
high,EPR,-0.250827373531566,29.945343
high,EPR,-0.24554992748379317,29.978598
high,EPR,-0.24027248143602037,30.36231
high,EPR,-0.23499503538824756,30.37323
high,EPR,-0.22971758934047476,30.37323
high,EPR,-0.22444014329270195,30.37323
high,EPR,-0.21916269724492915,30.379555
high,EPR,-0.21388525119715635,30.456253
high,EPR,-0.20860780514938349,30.456253
high,EPR,-0.20333035910161068,30.456253
high,EPR,-0.19805291305383788,30.465202
high,EPR,-0.19277546700606507,30.487198
high,EPR,-0.18749802095829227,30.491377
high,EPR,-0.18222057491051946,30.535482
high,EPR,-0.17694312886274666,30.535482
high,EPR,-0.17166568281497385,30.560701
high,EPR,-0.16638823676720105,30.586931
high,EPR,-0.16111079071942824,30.570961
high,EPR,-0.15583334467165544,30.576994
high,EPR,-0.1505558986238826,30.654684
