region,feature,feature_value,partial_dependence
high,EPR_lag1,-0.6730230573533906,27.772669
high,EPR_lag1,-0.6677456113056178,27.772669
high,EPR_lag1,-0.662468165257845,27.772669
high,EPR_lag1,-0.6571907192100722,27.772669
high,EPR_lag1,-0.6519132731622994,27.772669
high,EPR_lag1,-0.6466358271145266,27.772669
high,EPR_lag1,-0.6413583810667538,27.772669
high,EPR_lag1,-0.636080935018981,27.772669
high,EPR_lag1,-0.6308034889712082,27.772669
high,EPR_lag1,-0.6255260429234354,27.772669
high,EPR_lag1,-0.6202485968756626,27.772669
high,EPR_lag1,-0.6149711508278898,27.772669
high,EPR_lag1,-0.609693704780117,27.772669
high,EPR_lag1,-0.6044162587323442,27.772669
high,EPR_lag1,-0.5991388126845714,27.772669
high,EPR_lag1,-0.5938613666367984,27.775047
high,EPR_lag1,-0.5885839205890258,27.775047
high,EPR_lag1,-0.5833064745412528,27.773876
high,EPR_lag1,-0.5780290284934801,27.773876
high,EPR_lag1,-0.5727515824457072,27.773876
high,EPR_lag1,-0.5674741363979344,27.779438
high,EPR_lag1,-0.5621966903501616,27.776213
high,EPR_lag1,-0.5569192443023888,27.78266
high,EPR_lag1,-0.551641798254616,27.779028
high,EPR_lag1,-0.5463643522068432,27.779882
high,EPR_lag1,-0.5410869061590704,27.785686
high,EPR_lag1,-0.5358094601112976,27.785686
high,EPR_lag1,-0.5305320140635248,27.785686
high,EPR_lag1,-0.525254568015752,27.785686
high,EPR_lag1,-0.5199771219679792,27.785686
high,EPR_lag1,-0.5146996759202064,27.785686
high,EPR_lag1,-0.5094222298724336,27.785686
high,EPR_lag1,-0.5041447838246608,27.790083
high,EPR_lag1,-0.49886733777688796,27.790083
high,EPR_lag1,-0.49358989172911516,27.790083
high,EPR_lag1,-0.48831244568134236,27.790083
high,EPR_lag1,-0.48303499963356955,27.852577
high,EPR_lag1,-0.47775755358579675,27.86688
high,EPR_lag1,-0.47248010753802394,27.864933
high,EPR_lag1,-0.46720266149025114,27.87419
high,EPR_lag1,-0.46192521544247833,27.87419
high,EPR_lag1,-0.4566477693947055,27.87419
high,EPR_lag1,-0.4513703233469327,27.947935
high,EPR_lag1,-0.4460928772991599,27.947935
high,EPR_lag1,-0.44081543125138706,27.947935
high,EPR_lag1,-0.43553798520361425,27.987547
high,EPR_lag1,-0.43026053915584145,27.987547
high,EPR_lag1,-0.42498309310806864,27.987547
high,EPR_lag1,-0.41970564706029584,28.14056
high,EPR_lag1,-0.41442820101252303,28.14056
high,EPR_lag1,-0.40915075496475023,28.183914
high,EPR_lag1,-0.4038733089169774,28.266554
high,EPR_lag1,-0.3985958628692046,28.454859
high,EPR_lag1,-0.3933184168214318,28.454859
high,EPR_lag1,-0.388040970773659,28.454859
high,EPR_lag1,-0.3827635247258862,28.51303
high,EPR_lag1,-0.37748607867811335,28.51303
high,EPR_lag1,-0.37220863263034054,28.51303
high,EPR_lag1,-0.36693118658256774,28.531723
high,EPR_lag1,-0.36165374053479493,28.531723
high,EPR_lag1,-0.3563762944870221,28.853989
high,EPR_lag1,-0.3510988484392493,28.853989
high,EPR_lag1,-0.3458214023914765,29.36269
high,EPR_lag1,-0.3405439563437037,29.36269
high,EPR_lag1,-0.3352665102959309,29.36269
high,EPR_lag1,-0.3299890642481581,29.366394
high,EPR_lag1,-0.3247116182003853,29.366394
high,EPR_lag1,-0.3194341721526125,29.366394
high,EPR_lag1,-0.3141567261048397,29.366394
high,EPR_lag1,-0.3088792800570669,29.366394
high,EPR_lag1,-0.3036018340092941,29.366394
high,EPR_lag1,-0.2983243879615213,29.354622
high,EPR_lag1,-0.29304694191374847,29.485533
high,EPR_lag1,-0.2877694958659756,29.521421
high,EPR_lag1,-0.2824920498182028,29.54005
high,EPR_lag1,-0.27721460377043,29.54005
high,EPR_lag1,-0.2719371577226572,29.54005
high,EPR_lag1,-0.2666597116748844,29.54005
high,EPR_lag1,-0.2613822656271116,29.54005
high,EPR_lag1,-0.2561048195793388,29.536472
high,EPR_lag1,-0.250827373531566,29.549364
high,EPR_lag1,-0.24554992748379317,29.549364
high,EPR_lag1,-0.24027248143602037,29.552917
high,EPR_lag1,-0.23499503538824756,29.552917
high,EPR_lag1,-0.22971758934047476,29.552917
high,EPR_lag1,-0.22444014329270195,29.622906
high,EPR_lag1,-0.21916269724492915,29.622906
high,EPR_lag1,-0.21388525119715635,29.684292
high,EPR_lag1,-0.20860780514938349,29.68553
high,EPR_lag1,-0.20333035910161068,29.68553
high,EPR_lag1,-0.19805291305383788,29.900106
high,EPR_lag1,-0.19277546700606507,29.907232
high,EPR_lag1,-0.18749802095829227,30.005892
high,EPR_lag1,-0.18222057491051946,30.158348
high,EPR_lag1,-0.17694312886274666,30.19748
high,EPR_lag1,-0.17166568281497385,30.224052
high,EPR_lag1,-0.16638823676720105,30.236238
high,EPR_lag1,-0.16111079071942824,30.261908
high,EPR_lag1,-0.15583334467165544,30.368984
high,EPR_lag1,-0.1505558986238826,30.599169
