region,feature,feature_value,partial_dependence
high,month_sin,-1.0,29.672182
high,month_sin,-0.8660254037844386,29.680145
high,month_sin,-0.8660254037844385,29.680145
high,month_sin,-0.5000000000000004,29.670406
high,month_sin,-0.4999999999999997,29.670406
high,month_sin,-2.4492935982947064e-16,29.621012
high,month_sin,1.2246467991473532e-16,29.621012
high,month_sin,0.49999999999999994,28.526415
high,month_sin,0.8660254037844386,28.206362
high,month_sin,0.8660254037844387,28.206362
high,month_sin,1.0,28.22036
