region,feature,feature_value,partial_dependence
low,low_sst,23.085630219823393,36.992718214765915
low,low_sst,23.12324453109274,36.99264834260582
low,low_sst,23.16085884236209,36.992948304767296
low,low_sst,23.19847315363144,36.99277838037058
low,low_sst,23.236087464900788,36.99278178673682
low,low_sst,23.273701776170135,36.99281947299458
low,low_sst,23.311316087439483,36.99283994149453
low,low_sst,23.34893039870883,36.99286219146395
low,low_sst,23.386544709978182,36.99277947093164
low,low_sst,23.42415902124753,36.99269080962274
low,low_sst,23.461773332516877,36.99252421407954
low,low_sst,23.499387643786225,36.99257810689037
low,low_sst,23.537001955055572,36.99231846096176
low,low_sst,23.57461626632492,36.992284427909944
low,low_sst,23.61223057759427,36.99229391653311
low,low_sst,23.64984488886362,36.99230862181601
low,low_sst,23.687459200132967,36.99228566204516
low,low_sst,23.725073511402314,36.992303444284026
low,low_sst,23.762687822671662,36.99239113216088
low,low_sst,23.800302133941013,36.992343922349654
low,low_sst,23.83791644521036,36.99231123839798
low,low_sst,23.87553075647971,36.9924895033442
low,low_sst,23.913145067749056,36.99290322258733
low,low_sst,23.950759379018404,36.99309375745783
low,low_sst,23.988373690287755,36.99322424637667
low,low_sst,24.025988001557103,36.99323609061565
low,low_sst,24.06360231282645,36.99332376412706
low,low_sst,24.101216624095798,36.99341525434202
low,low_sst,24.138830935365146,36.99354894800007
low,low_sst,24.176445246634497,36.99363298290011
low,low_sst,24.214059557903845,36.99343767464712
low,low_sst,24.251673869173192,36.99344191120476
low,low_sst,24.28928818044254,36.9934522087392
low,low_sst,24.326902491711888,36.99358199826013
low,low_sst,24.364516802981235,36.993540376271014
low,low_sst,24.402131114250587,36.993601789901376
low,low_sst,24.439745425519934,36.99382709574303
low,low_sst,24.477359736789282,36.993887306750295
low,low_sst,24.51497404805863,36.99392205351049
low,low_sst,24.552588359327977,36.99397434877285
low,low_sst,24.59020267059733,36.9942133563837
low,low_sst,24.627816981866676,36.99520058615541
low,low_sst,24.665431293136024,36.99530258744129
low,low_sst,24.70304560440537,36.99540103988822
low,low_sst,24.74065991567472,36.99561468431158
low,low_sst,24.77827422694407,36.99553933514502
low,low_sst,24.815888538213418,36.99533105594412
low,low_sst,24.853502849482766,36.99534030602291
low,low_sst,24.891117160752113,36.99532686300525
low,low_sst,24.92873147202146,36.99623082609579
low,low_sst,24.966345783290812,36.99649936733754
low,low_sst,25.00396009456016,36.99648708302451
low,low_sst,25.041574405829508,36.996580184876215
low,low_sst,25.079188717098855,36.99658119741082
low,low_sst,25.116803028368203,36.9965279642971
low,low_sst,25.154417339637554,36.99657757193368
low,low_sst,25.1920316509069,36.99659006948429
low,low_sst,25.22964596217625,36.9968097713112
low,low_sst,25.267260273445597,36.99679680842517
low,low_sst,25.304874584714945,36.998482197728706
low,low_sst,25.342488895984296,37.00477471615221
low,low_sst,25.380103207253644,37.005799515893266
low,low_sst,25.41771751852299,37.010894285945845
low,low_sst,25.45533182979234,37.01146769236766
low,low_sst,25.492946141061687,37.01154973917775
low,low_sst,25.530560452331038,37.01159734378892
low,low_sst,25.568174763600386,37.01171978676593
low,low_sst,25.605789074869733,37.01177732108044
low,low_sst,25.64340338613908,37.01181965680343
low,low_sst,25.68101769740843,37.01177684497114
low,low_sst,25.718632008677776,37.0117241738343
low,low_sst,25.756246319947127,37.011714020862435
low,low_sst,25.793860631216475,37.01171634395779
low,low_sst,25.831474942485823,37.01242704978396
low,low_sst,25.86908925375517,37.0125178116976
low,low_sst,25.906703565024518,37.01253634491711
low,low_sst,25.944317876293866,37.012579235167216
low,low_sst,25.981932187563217,37.012597991400895
low,low_sst,26.019546498832565,37.01286029363841
low,low_sst,26.057160810101912,37.01312527526025
low,low_sst,26.09477512137126,37.01335850017606
low,low_sst,26.132389432640608,37.013544475848505
low,low_sst,26.17000374390996,37.013774463481205
low,low_sst,26.207618055179307,37.013882873903015
low,low_sst,26.245232366448654,37.01390513911077
low,low_sst,26.282846677718002,37.014259359074174
low,low_sst,26.32046098898735,37.01457038269315
low,low_sst,26.3580753002567,37.01464560503958
low,low_sst,26.39568961152605,37.014873683153766
low,low_sst,26.433303922795396,37.01498351021537
low,low_sst,26.470918234064744,37.01526144025145
low,low_sst,26.50853254533409,37.01530775074016
low,low_sst,26.546146856603443,37.015398500963556
low,low_sst,26.58376116787279,37.01540873325358
low,low_sst,26.621375479142138,37.01538992082268
low,low_sst,26.658989790411486,37.015377576907824
low,low_sst,26.696604101680833,37.0153428622286
low,low_sst,26.734218412950185,37.0153092383668
low,low_sst,26.771832724219532,37.01525453702313
low,low_sst,26.80944703548888,37.015224806342125
